,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
95,Toyota Innova Crysta 2.8 GX AT,2017-03-01,Third Party insurance,Diesel,7,76000,First Owner,Automatic,11.36,2755.0,1715.0,14.75
96,Maruti Baleno,2019-05-01,Comprehensive,Petrol,5,49341,First Owner,Manual,21.01,1197.0,8180.0,5.76
97,Honda Amaze VX,2013-05-01,Comprehensive,Petrol,5,56000,First Owner,Manual,18.0,1198.0,867.0,3.25
98,MG Hector Plus 1.5 Turbo Sharp Pro CVT,2023-05-01,Comprehensive,Petrol,6,12000,First Owner,Automatic,12.34,1451.0,141.0,21.0
99,Honda City i VTEC,2014-07-01,Comprehensive,Petrol,5,51734,First Owner,Manual,17.8,1497.0,1173.0,5.72
100,Maruti Swift,2018-06-01,Third Party insurance,Petrol,5,22000,First Owner,Manual,22.0,1197.0,8180.0,5.75
101,Hyundai Creta 1.6 SX,2018-08-01,Comprehensive,Diesel,5,45084,First Owner,Manual,20.5,1582.0,1262.0,9.22
102,Honda Amaze S,2016-09-01,Comprehensive,Petrol,5,29000,First Owner,Manual,17.8,1198.0,867.0,4.8
103,Hyundai Venue SX,2021-01-01,Comprehensive,Petrol,5,16763,First Owner,Manual,18.27,998.0,11835.0,9.69
104,Tata Altroz XM plus,2022-05-01,Third Party insurance,Petrol,5,6000,First Owner,Manual,19.33,1199.0,8683.0,6.95
105,Mahindra XUV500,2015-08-01,Comprehensive,Diesel,7,86000,First Owner,Manual,15.1,2179.0,140.0,5.45
106,Honda Jazz VX,2018-07-01,Comprehensive,Petrol,5,24000,First Owner,Automatic,17.1,1199.0,8850.0,6.55
107,Hyundai Venue,2021-03-01,Comprehensive,Petrol,5,9000,First Owner,Manual,20.36,1197.0,8180.0,7.75
108,Toyota Camry 2.5,2017-07-01,Third Party insurance,Petrol,5,45000,First Owner,Automatic,19.16,2494.0,1577.0,22.5
109,Hyundai i20 Asta Opt Turbo DCT,2021-08-01,Comprehensive,Petrol,5,17041,First Owner,Automatic,20.28,998.0,11841.0,10.49
110,Mahindra XUV500 W6 1.99,2018-11-01,Comprehensive,Diesel,7,49000,First Owner,Manual,16.0,1997.0,140.0,9.25
111,Hyundai Venue SX,2020-08-01,Comprehensive,Petrol,5,23588,First Owner,Manual,18.27,998.0,11835.0,9.2
112,Mercedes-Benz CLA Urban Sport,2018-10-01,Comprehensive,Diesel,5,50000,Second Owner,Automatic,17.9,2143.0,1341.0,22.0
113,Toyota Innova Crysta 2.8 GX AT,2017-03-01,Third Party insurance,Diesel,7,76000,First Owner,Automatic,11.36,2755.0,1715.0,14.75
114,Maruti Baleno,2019-05-01,Comprehensive,Petrol,5,49341,First Owner,Manual,21.01,1197.0,8180.0,5.76
